y_true,Concrete_Class,y_cb_standard,y_cb_group
49.7,35,48.70356958459975,48.08218490940205
48.3,35,48.15996049340756,47.46454279919392
47.8,35,49.77940936266575,48.44430037610777
44.4,35,47.686705930607054,45.372820532118546
47.8,35,49.26550455146209,46.94236932400484
47.4,35,48.1172631061255,47.49791653700316
60.2,35,61.969667238087474,59.013230948363514
48.3,35,46.224070524048344,47.266404186816054
63.7,35,64.81442713870771,59.74798042612596
65.8,35,62.6092295586401,59.43947608262224
58.1,35,62.542787932809304,56.29591017703872
53.9,35,51.645083997154124,53.88696644549822
51.73,35,46.021629240647,48.8778819449782
67.3,35,55.43830985816989,56.67109418447848
67.1,35,63.86179024417993,58.45873148849935
68.7,35,61.69743482048892,58.48806064216956
61.1,35,53.62437500669797,49.45049483232786
58.5,35,62.31510671762117,56.26560087690098
65.9,35,57.498687422010995,58.14947937751866
64.0,35,56.82672094982021,54.4427692397531
52.5,35,47.35983791150211,48.32596303718658
48.3,35,45.06760767569207,51.22947402939468
62.3,35,60.709764927296845,56.62726990469247
60.6,35,64.67154201216351,57.16773154002578
57.3,35,60.97747706382107,55.86206288002673
62.5,35,60.72419414339606,55.12730550300153
59.7,35,60.026385003685604,55.082742879233955
55.4,35,58.81784527726773,53.94316714246519
52.8,35,53.74274963659944,51.18585522414309
53.7,35,55.75581369335482,54.88200875769133
54.1,35,58.7452229950745,55.59995513241545
52.1,35,51.98770850942523,50.74461139380351
58.9,35,59.39352242819976,54.999116563803945
41.8,35,43.46421689300811,43.98282895320155
43.3,35,47.35636240020282,46.73708129276181
46.853,35,49.36758254723838,50.933762503698155
40.586,35,45.2979322424121,46.83877364857556
50.166,35,51.96384973414728,53.968794529264045
38.817,35,40.760816621861565,42.354793241175415
52.863,35,50.239445378998276,55.339247818356135
51.155,35,49.34707590943524,52.770961984501355
50.744,35,51.18143468023939,55.81348276544307
47.189,35,54.72341983570188,56.253535857299894
52.822,35,49.79298455623029,54.34879432398887
53.64,35,53.061949167281796,56.391101087883065
51.02,35,53.28813897692296,57.45478507742244
49.25,35,51.82265400128185,54.018302864279434
54.23,35,57.609757309387916,59.96030379233421
64.94,35,59.85693206105118,60.572381234155216
62.49,35,61.749773031991644,59.51501174974746
61.71,35,56.83817722421189,58.041322004686165
61.98,35,63.00967949824385,63.18940616344037
58.43,35,57.491317488331944,60.973144356541624
58.43,35,54.64139770097478,59.1242405340156
59.11,35,58.31427250548289,58.82642051457659
56.76,35,50.21119739003778,52.67613674714208
58.45,35,61.14989082600315,59.4027130193167
49.72,35,52.566811211833766,52.5443263956478
49.72,35,41.26938879414994,43.60763881700815
38.17,35,46.25623766987635,44.124301614198124
51.2,35,54.01017391404706,58.430089515867365
38.82,35,38.827961741604916,46.57368145315363
55.23,35,53.41371932592925,58.33360609327279
51.2,35,53.439666421915526,57.37402733948621
38.82,35,44.16948679287898,46.46754933323721
48.21,35,51.65730850493237,54.38247826896902
61.53,35,60.37439868355534,60.03155417987604
52.65,35,54.764553307005016,56.620879535022155
61.53,35,61.156776512206115,60.85636185558058
47.2,35,50.02390391614469,53.09014466524236
52.55,35,52.08553528361995,53.71445817299393
51.95,35,53.56612756582779,56.55834497208497
48.0,35,49.96836271286072,55.47407872423686
46.0,35,46.54110420808208,55.492524730011226
56.0,35,53.175847324458346,56.22174215854997
57.3,35,52.34974021143274,54.40046322110997
50.1,35,44.51558149644108,55.290367597147146
45.6,35,53.08506264536926,53.974555066177565
