true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
42.3,33.5,165,155,44.972469329833984,38.13425827026367,205.05325317382812,178.10299682617188,25
44.1,34.1,165,170,44.55244064331055,37.52083206176758,202.63638305664062,183.18235778808594,25
41.9,32.5,160,155,44.51976013183594,40.24549865722656,196.69041442871094,180.10838317871094,25
51.9,46.31,165,155,47.04592514038086,37.549495697021484,196.1419677734375,172.03048706054688,25
42.9,41.19,165,170,45.9305305480957,34.301666259765625,191.57984924316406,166.06271362304688,25
44.4,41.08,160,155,46.436588287353516,37.62681579589844,192.27865600585938,175.5838623046875,25
50.7,40.39,170,170,47.36980438232422,35.55575942993164,189.15603637695312,172.23561096191406,25
50.5,41.98,160,170,47.4201774597168,35.83711624145508,188.35830688476562,174.1531524658203,25
51.9,41.17,150,160,45.24575424194336,36.27293395996094,189.2995147705078,170.68870544433594,25
48.2,42.3,160,150,45.49369812011719,36.13125991821289,197.52798461914062,166.5198516845703,25
48.2,37.84,160,150,49.60075378417969,40.302001953125,205.97227478027344,169.15274047851562,25
45.2,33.41,160,150,49.32280731201172,41.09975814819336,202.4971160888672,168.49887084960938,25
42.9,34.1,180,170,48.82011795043945,40.84149169921875,199.24473571777344,171.9600830078125,25
44.4,36.4,190,180,48.96044921875,41.852779388427734,199.9619598388672,168.25991821289062,25
50.7,42.2,200,190,47.842769622802734,36.89152526855469,190.20034790039062,173.67955017089844,25
50.5,44.9,180,180,46.12580871582031,36.7659797668457,188.0682830810547,170.62673950195312,25
51.9,46.31,190,155,47.04592514038086,37.549495697021484,196.1419677734375,172.03048706054688,25
48.83,41.19,180,170,45.9305305480957,34.301666259765625,191.57984924316406,166.06271362304688,25
48.63,41.08,195,155,46.436588287353516,37.62681579589844,192.27865600585938,175.5838623046875,25
47.88,40.39,190,170,47.36980438232422,35.55575942993164,189.15603637695312,172.23561096191406,25
48.89,41.98,190,170,47.4201774597168,35.83711624145508,188.35830688476562,174.1531524658203,25
47.98,41.17,185,160,45.245758056640625,36.2729377746582,189.29949951171875,170.68870544433594,25
